,recipient_parent_name1,current_award,potential_award,offers_received,num_employees,annual_revenue,award_count,recipient_name,organizational_type,business_size,year,recipient_name_clean,Cycle,Democrats,Individuals,PACs,Republicans,Soft_Indivs,Soft_Orgs,Total,Total1,org_id,org_name,org_name_clean,DemShare,RepShare
19,BOSTONSCIENTIFICCORPORATION,1018702.0,1018702.0,4,8333.333333,977666666.7,1,BOSTON SCIENTIFIC CORPORATION,,OTHER THAN SMALL BUSINESS,2008,boston scientific,2008,204738,255733,267580,318575,0,0,523313,523313,D000021878,BOSTON SCIENTIFIC CORP,boston scientific,0.3912343091037295,0.6087656908962705
20,BRUNSWICKCORPORATION,474205.58,474205.58,63,4154.727778,3455533883.0,1,BRUNSWICK CORPORATION,,OTHER THAN SMALL BUSINESS,2008,brunswick,2008,36580,10682,110500,84602,0,0,121182,121182,D000024496,BRUNSWICK CORP,brunswick,0.30186001221303493,0.6981399877869651
21,BURNSMCDONNELLINC,30883662.0,30883662.0,50,0.0,0.0,1,BURNS & MCDONNELL  INC.,,OTHER THAN SMALL BUSINESS,2008,burns mcdonnell,2008,31325,11005,46500,26180,0,0,57505,57505,D000024518,BURNS & MCDONNELL,burns mcdonnell,0.5447352404138771,0.45526475958612295
22,BUTTERBALLLLC,26024633.74,219357529.5,40,5725.714286,1161428571.0,1,BUTTERBALL  LLC,,OTHER THAN SMALL BUSINESS,2008,butterball,2008,9700,2000,9700,2000,0,0,11700,11700,D000024529,BUTTERBALL LLC,butterball,0.8290598290598291,0.17094017094017094
23,CAMPBELLSOUPCOMPANY,76744092.18,214268832.2,40,1943.7820510000001,157692307.7,1,CAMPBELL SOUP COMPANY,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008,campbell soup,2008,35407,33732,50619,48444,0,0,83851,83851,D000024598,CAMPBELL SOUP,campbell soup,0.42226091519480985,0.5777390848051902
24,CARDINALHEALTHINC,309109883.7,309109883.7,68146,10131.84834,2016837658.0,1,CARDINAL HEALTH  INC.,,OTHER THAN SMALL BUSINESS,2008,cardinal health,2008,126151,55386,206500,135735,0,0,261886,261886,D000021892,CARDINAL HEALTH,cardinal health,0.48170196192236314,0.5182980380776369
25,CATERPILLARINC,144445108.5,144445108.5,4079,57478.96144,15426446081.0,1,CATERPILLAR INC.,,OTHER THAN SMALL BUSINESS,2008,caterpillar,2008,220374,224021,634500,638647,0,0,859021,859021,D000000352,CATERPILLAR INC,caterpillar,0.2565408761834693,0.7434591238165307
26,CENTERPOINTENERGYINC,2227051.46,2227051.46,2,0.0,0.0,1,CENTERPOINT ENERGY  INC.,,OTHER THAN SMALL BUSINESS,2008,centerpoint energy,2008,76398,110818,119872,154292,0,0,230690,230690,D000024672,CENTERPOINT ENERGY,centerpoint energy,0.331171702284451,0.668828297715549
27,CENTURYLINKINC,331287.69,331287.69,17,13522.0125,3751937684.0,1,CENTURYLINK  INC.,,OTHER THAN SMALL BUSINESS,2008,centurylink,2008,55500,50300,80000,74800,0,0,130300,130300,D000024683,CENTURYLINK,centurylink,0.4259401381427475,0.5740598618572524
28,CH2MHILLCOMPANIESLTD,238759021.0,240216365.5,1955,10884.06169,2906705122.0,1,"CH2M HILL COMPANIES, LTD",,OTHER THAN SMALL BUSINESS,2008,ch2m hill,2008,439404,227842,462746,258284,0,8000,697688,697688,D000000492,CH2M HILL,ch2m hill,0.6298001398906101,0.3701998601093899
29,CHEVRONCORPORATION,70092.0,80092.0,17,20464.5,21403499782.0,1,CHEVRON CORPORATION,,OTHER THAN SMALL BUSINESS,2008,chevron,2008,291851,557092,583850,847341,0,0,1139192,1139192,D000000015,CHEVRON,chevron,0.2561912302754935,0.7438087697245065
30,CISCOSYSTEMSINC,6228453.03,6434245.03,123,1688.0,719000000.0,1,CISCO SYSTEMS  INC.,,OTHER THAN SMALL BUSINESS,2008,cisco systems,2008,1043098,1079854,527500,561506,0,0,1604604,1604604,D000000374,CISCO SYSTEMS,cisco systems,0.6500656859885678,0.3499343140114321
31,CITIGROUPINC,135474211.6,176575965.6,275,8065.598378,56643604231.0,1,CITIGROUP INC.,,OTHER THAN SMALL BUSINESS,2008,citigroup,2008,3368769,4421362,982799,2039392,5000,4000,5408161,5408161,D000000071,CITIGROUP INC,citigroup,0.6229047175185798,0.3770952824814202
32,COBHAMPLC,5074510.72,5074510.72,92,5734.666667,578133339.0,1,COBHAM PLC,,OTHER THAN SMALL BUSINESS,2008,cobham,2008,35971,37391,67100,68270,0,0,104241,104241,D000049451,COBHAM HOLDINGS,cobham,0.34507535422722346,0.6549246457727765
33,COCACOLAENTERPRISESINC,30466573.8,894381445.6,183,4796.713220000001,365808275.8,1,COCA-COLA ENTERPRISES INC.,,OTHER THAN SMALL BUSINESS,2008,cocacola enterprises,2008,130879,52029,268500,189650,0,0,320529,320529,D000065473,COCA-COLA ENTERPRISES,cocacola enterprises,0.4083218679121078,0.5916781320878922
34,COLLEGEOFAMERICANPATHOLOGISTS,6293.0,6293.0,1,658.0,210350967.0,1,COLLEGE OF AMERICAN PATHOLOGISTS,,OTHER THAN SMALL BUSINESS,2008,college american pathologists,2008,539119,1992,1019126,481999,0,0,1021118,1021118,D000000540,COLLEGE OF AMERICAN PATHOLOGISTS,college american pathologists,0.527969343405953,0.4720306565940469
35,CONSOLIDATEDEDISONINC,948384.42,1144768.42,1,13953.0,96.0,1,CONSOLIDATED EDISON  INC.,,OTHER THAN SMALL BUSINESS,2008,consolidated edison,2008,52375,44426,16750,8801,0,0,61176,61176,D000025111,CONSOLIDATED EDISON INC,consolidated edison,0.856136393356872,0.14386360664312803
36,CRHPLC,316797.5,316797.5,2,230.0,130000000.0,1,CRH PLC,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008,crh,2008,257590,9490,487100,238500,0,0,496090,496090,D000066815,CRH PLC,crh,0.5192404604003306,0.48075953959966944
37,CSLLIMITED,79124.28,79124.28,1,4500.0,725600000.0,1,CSL LIMITED,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008,csl,2008,7450,5150,17750,15450,0,0,22900,22900,D000025196,CSL LTD,csl,0.32532751091703055,0.6746724890829694
38,CUBICCORPORATION,9926491.97,9926491.97,467,449.3176771000001,23266874.86,1,CUBIC CORPORATION,,OTHER THAN SMALL BUSINESS,2008,cubic,2008,41150,136050,125400,220300,0,0,261450,261450,D000021944,CUBIC CORP,cubic,0.1573914706444827,0.8426085293555173
39,CUMMINSINC,49629263.15,50287184.28,44,1558.393333,57928342.97,1,CUMMINS INC.,OTHER,OTHER THAN SMALL BUSINESS,2008,cummins,2008,161300,113901,175500,128101,0,0,289401,289401,D000021945,CUMMINS INC,cummins,0.5573581293775765,0.44264187062242355
40,CURTISSWRIGHTCORPORATION,5360352.64,5360352.64,35,2545.1642859999997,447340338.4,1,CURTISS-WRIGHT CORPORATION,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008,curtisswright,2008,43000,6500,95750,59250,0,0,102250,102250,D000025212,CURTISS-WRIGHT CORP,curtisswright,0.42053789731051344,0.5794621026894865
41,DCIINC,245962.56,245962.56,1005,86.66666667,10000000.0,1,"DCI, INC.",,SMALL BUSINESS,2008,dci,2008,82650,227696,60250,205296,0,0,287946,287946,D000021952,DCI GROUP,dci,0.2870329853514201,0.7129670146485799
42,DEANFOODSCOMPANY,35551051.38,986638670.0,598,3474.822065,669404165.7,1,DEAN FOODS COMPANY,PARTNERSHIP,OTHER THAN SMALL BUSINESS,2008,dean foods,2008,284325,122295,595000,432520,0,0,716845,716845,D000021651,DEAN FOODS,dean foods,0.39663386087647956,0.6033661391235204
43,DEERECOMPANY,11464734.07,11464734.07,39,36092.03333,264544015.3,1,DEERE & COMPANY,,OTHER THAN SMALL BUSINESS,2008,deere,2008,232130,76336,566000,410206,0,0,642336,642336,D000000408,DEERE & CO,deere,0.3613840731330643,0.6386159268669357
44,DELOITTELLP,45695603948.0,46014987849.0,325,5095.222286,1469757906.0,1,DELOITTE LLP,,OTHER THAN SMALL BUSINESS,2008,deloitte,2008,1551603,1091838,2094500,1629535,0,0,3181138,3181138,D000000131,DELOITTE LLP,deloitte,0.4877509243547435,0.5122490756452565
45,DEUTSCHEPOSTAG,104302512.5,104407512.5,6,3544.0,490000.0,1,DEUTSCHE POST AG,,OTHER THAN SMALL BUSINESS,2008,deutsche post ag,2008,17284,20185,17500,20401,0,0,37685,37685,D000025481,DEUTSCHE POST AG,deutsche post ag,0.45864402282075095,0.541355977179249
