,t1,t2,score
7103912,l3 communications,mci communications,0.16666666666666666
22463179,venatorx pharmaceuticals,vertex pharmaceuticals,0.16666666666666666
9058790,crane technologies,ca technologies,0.16666666666666666
24245498,carter enterprises,werner enterprises,0.16666666666666666
15778120,gama1 technologies,maxar technologies,0.16666666666666666
18038048,rlm communications,xo communications,0.16666666666666666
32571878,vecna technologies,ca technologies,0.16666666666666666
35606556,dkw communications,mfs communications,0.16666666666666666
1875991,aci technologies,radix technologies,0.16666666666666666
18037955,rlm communications,icg communications,0.16666666666666666
35606723,dkw communications,icg communications,0.16666666666666666
5463765,axiom,acxiom,0.16666666666666666
24923275,aermor,armor,0.16666666666666666
7622022,bam technologies,bally technologies,0.16666666666666666
2683385,semco energy,peco energy,0.16666666666666666
35358425,applied technology,alien technology,0.16666666666666666
18040360,rlm communications,mci communications,0.16666666666666666
34629320,aqyr technologies,maxar technologies,0.16666666666666666
34594895,essex industries,dresser industries,0.16666666666666666
22883227,semcon,hemcon,0.16666666666666666
12294918,blh technologies,bally technologies,0.16666666666666666
37125651,data management services,jjf management services,0.16666666666666666
26159396,mbo partners,bc partners,0.16666666666666666
6527863,vintun,vinton,0.16666666666666666
3931036,pci communications,mfs communications,0.16666666666666666
35485468,jvn communications,mfs communications,0.16666666666666666
35070470,btl technologies,bally technologies,0.16666666666666666
7459511,berger,herger,0.16666666666666666
20044653,hamps construction,hm construction,0.16666666666666666
373031,dovel technologies,dell technologies,0.16666666666666666
36785655,wood consulting services,ltk consulting services,0.16666666666666666
15503750,pal technologies,bally technologies,0.16666666666666666
18037788,rlm communications,mfs communications,0.16666666666666666
32183759,horizon industries,houston industries,0.16666666666666666
21932765,unicor,nicor,0.16666666666666666
3931296,pci communications,xo communications,0.16666666666666666
35485728,jvn communications,xo communications,0.16666666666666666
18777800,axom technologies,maxar technologies,0.16666666666666666
35485635,jvn communications,icg communications,0.16666666666666666
35609128,dkw communications,mci communications,0.16666666666666666
7101340,l3 communications,mfs communications,0.16666666666666666
35606816,dkw communications,xo communications,0.16666666666666666
3289452,right 2 work,right work,0.16666666666666666
7101507,l3 communications,icg communications,0.16666666666666666
539770,forney enterprises,werner enterprises,0.16666666666666666
33671624,gatr technologies,maxar technologies,0.16666666666666666
11404666,worley enterprises,werner enterprises,0.16666666666666666
10762201,ecorp,ezcorp,0.16666666666666666
35488040,jvn communications,mci communications,0.16666666666666666
20107170,evergreen information technology services,harris information technology services,0.17073170731707318
32473955,ecology and environment,ecology environment,0.17391304347826086
16625051,healthcare services,kph healthcare services,0.17391304347826086
10003773,district communications,sprint communications,0.17391304347826086
4193133,akhi construction,hm construction,0.17647058823529413
26192295,lm technologies,dell technologies,0.17647058823529413
15993383,doma technologies,dell technologies,0.17647058823529413
3561306,macroztechnology,micron technology,0.17647058823529413
16032237,ames construction,hm construction,0.17647058823529413
14296515,bvb construction,irby construction,0.17647058823529413
34228461,team construction,hm construction,0.17647058823529413
30241603,l b construction,irby construction,0.17647058823529413
16807975,jsl technologies,dell technologies,0.17647058823529413
34949606,teya technologies,ca technologies,0.17647058823529413
6592998,core technologies,ca technologies,0.17647058823529413
35070247,btl technologies,dell technologies,0.17647058823529413
36694374,nika technologies,ca technologies,0.17647058823529413
12294695,blh technologies,dell technologies,0.17647058823529413
14026819,ipi construction,irby construction,0.17647058823529413
35304094,dhpc technologies,fmc technologies,0.17647058823529413
10671462,hart technologies,ca technologies,0.17647058823529413
34949159,teya technologies,dell technologies,0.17647058823529413
32822979,r c construction,irby construction,0.17647058823529413
22796327,ehs technologies,dell technologies,0.17647058823529413
27889497,athena technology,alien technology,0.17647058823529413
29126981,aurora industries,terra industries,0.17647058823529413
33027318,siga technologies,icx technologies,0.17647058823529413
15993830,doma technologies,ca technologies,0.17647058823529413
33672678,gatr technologies,ca technologies,0.17647058823529413
15503527,pal technologies,dell technologies,0.17647058823529413
169709,hoar construction,hm construction,0.17647058823529413
30210662,esco technologies,ca technologies,0.17647058823529413
5038787,rls construction,irby construction,0.17647058823529413
30209270,esco technologies,icx technologies,0.17647058823529413
18739879,mei technologies,dell technologies,0.17647058823529413
20841092,nanotherapeutics,juno therapeutics,0.17647058823529413
306038,microtechnologies,icx technologies,0.17647058823529413
32021031,drs technologies,dell technologies,0.17647058823529413
31272132,leonie industries,lennox industries,0.17647058823529413
8403457,swank enterprises,ssab enterprises,0.17647058823529413
15990558,doma technologies,fmc technologies,0.17647058823529413
30489283,rjs construction,irby construction,0.17647058823529413
29769895,ls technologies,dell technologies,0.17647058823529413
35306919,dhpc technologies,dell technologies,0.17647058823529413
13863335,e2 technologies,dell technologies,0.17647058823529413
30207390,esco technologies,fmc technologies,0.17647058823529413
9361063,seb technologies,dell technologies,0.17647058823529413
33087171,rkj construction,irby construction,0.17647058823529413
8392359,dh technologies,dell technologies,0.17647058823529413
33191747,r b construction,irby construction,0.17647058823529413
32123971,dsb construction,irby construction,0.17647058823529413
16591018,tower industries,cooper industries,0.17647058823529413
33028710,siga technologies,ca technologies,0.17647058823529413
12843376,reston consulting,rust consulting,0.17647058823529413
28628931,rnr construction,irby construction,0.17647058823529413
35789635,rq construction,irby construction,0.17647058823529413
36692982,nika technologies,icx technologies,0.17647058823529413
30781686,link technologies,icx technologies,0.17647058823529413
20488515,abba construction,irby construction,0.17647058823529413
23576259,city construction,irby construction,0.17647058823529413
25013249,mcneal professional services,hanson professional services,0.17857142857142858
37672449,cps professional services,hanson professional services,0.17857142857142858
34375553,pae professional services,hanson professional services,0.17857142857142858
402344,vistra communications,winstar communications,0.18181818181818182
7139042,fn america,one america,0.18181818181818182
14043091,pae holding,jab holding,0.18181818181818182
7792680,sagent pharmaceuticals,dupont pharmaceuticals,0.18181818181818182
9501376,pgs holding,bg holding,0.18181818181818182
2424461,syneren technologies,syniverse technologies,0.18181818181818182
25416195,gti systems,mts systems,0.18181818181818182
33700603,leader communications,charter communications,0.18181818181818182
4364379,x solutions,emsolutions,0.18181818181818182
31960451,mlt systems,mts systems,0.18181818181818182
18527946,whirlwind technologies,westwind technologies,0.18181818181818182
20704771,t systems,mts systems,0.18181818181818182
25307099,tsolutions,emsolutions,0.18181818181818182
20369188,fs partners,bc partners,0.18181818181818182
11699343,eagle medical services,air medical services,0.18181818181818182
19279235,btp systems,mts systems,0.18181818181818182
13736707,aes systems,mts systems,0.18181818181818182
22947977,nueces electric cooperative,aiken electric cooperative,0.18518518518518517
38050953,sumter electric cooperative,aiken electric cooperative,0.18518518518518517
4339118,veritas capital management,cerberus capital management,0.18518518518518517
38051175,sumter electric cooperative,kamo electric cooperative,0.18518518518518517
11147131,aircraft transport services,air transport services,0.18518518518518517
33634244,taj technologies,bwx technologies,0.1875
30243565,l b construction,hm construction,0.1875
202733,gch construction,hm construction,0.1875
18848345,most investments,fs investments,0.1875
15502582,pal technologies,icx technologies,0.1875
23385345,csp enterprises,ssab enterprises,0.1875
33089133,rkj construction,hm construction,0.1875
21837294,planned systems,planning systems,0.1875
32018206,drs technologies,fmc technologies,0.1875
25042406,rnr technologies,ca technologies,0.1875
27607364,gcc technologies,bwx technologies,0.1875
31448941,kwr construction,hm construction,0.1875
18740326,mei technologies,ca technologies,0.1875
18216117,dream management,ares management,0.1875
29768950,ls technologies,icx technologies,0.1875
15504068,pal technologies,bwx technologies,0.1875
35584798,nvs technologies,fmc technologies,0.1875
35586678,nvs technologies,icx technologies,0.1875
25042500,rnr technologies,bwx technologies,0.1875
13306319,tac industries,nacco industries,0.1875
32564815,lenco industries,nacco industries,0.1875
12293750,blh technologies,icx technologies,0.1875
15656975,rer solutions,trover solutions,0.1875
18740420,mei technologies,bwx technologies,0.1875
19514998,i360technologies,icx technologies,0.1875
35069302,btl technologies,icx technologies,0.1875
35588164,nvs technologies,bwx technologies,0.1875
26191350,lm technologies,icx technologies,0.1875
9360118,seb technologies,icx technologies,0.1875
29767070,ls technologies,fmc technologies,0.1875
21138678,cgh technologies,icx technologies,0.1875
19620845,tcw construction,hm construction,0.1875
25316012,american cabling,american gaming,0.1875
36703990,cdo technologies,icx technologies,0.1875
35588070,nvs technologies,ca technologies,0.1875
25039134,rnr technologies,fmc technologies,0.1875
17843268,g3 technologies,bwx technologies,0.1875
33632758,taj technologies,icx technologies,0.1875
25932662,tau technologies,icx technologies,0.1875
23897668,c2 technologies,bwx technologies,0.1875
33630878,taj technologies,fmc technologies,0.1875
26145428,ebsco industries,enpro industries,0.1875
7484740,zin technologies,bwx technologies,0.1875
7484646,zin technologies,ca technologies,0.1875
25041014,rnr technologies,icx technologies,0.1875
25317808,american cabling,american cable,0.1875
35067422,btl technologies,fmc technologies,0.1875
35070694,btl technologies,ca technologies,0.1875
32419998,gpa technologies,fmc technologies,0.1875
15500702,pal technologies,fmc technologies,0.1875
8727158,cnf technologies,icx technologies,0.1875
5349188,mtc technologies,bwx technologies,0.1875
1872798,aci technologies,fmc technologies,0.1875
32021572,drs technologies,bwx technologies,0.1875
13863876,e2 technologies,bwx technologies,0.1875
17839902,g3 technologies,fmc technologies,0.1875
7483254,zin technologies,icx technologies,0.1875
13860510,e2 technologies,fmc technologies,0.1875
22793502,ehs technologies,fmc technologies,0.1875
8389534,dh technologies,fmc technologies,0.1875
16808516,jsl technologies,bwx technologies,0.1875
16808422,jsl technologies,ca technologies,0.1875
